id,start_time,end_time,result,session_date,device_id
1,2025-08-15T04:22:58.976Z,2025-08-15T04:22:59.970Z,30,8/15/2025,070F60D1
2,2025-08-15T10:31:42.297Z,2025-08-15T10:31:45.162Z,30,8/15/2025,070F60D1
3,2025-08-15T10:33:40.631Z,2025-08-15T10:33:50.427Z,30,8/15/2025,070F60D1
4,2025-08-15T10:34:03.146Z,2025-08-15T10:34:11.007Z,30,8/15/2025,070F60D1
5,2025-08-15T10:34:17.021Z,2025-08-15T10:34:22.211Z,30,8/15/2025,070F60D1
6,2025-08-15T10:48:14.472Z,2025-08-15T10:48:20.307Z,90,8/15/2025,070F60D1
7,2025-08-15T10:48:55.061Z,2025-08-15T10:48:56.307Z,30,8/15/2025,070F60D1
8,2025-08-15T10:49:00.463Z,2025-08-15T10:49:01.902Z,30,8/15/2025,070F60D1
9,2025-08-15T10:49:46.363Z,2025-08-15T10:49:48.028Z,30,8/15/2025,070F60D1
10,2025-08-15T10:51:21.358Z,2025-08-15T10:51:22.980Z,30,8/15/2025,070F60D1
11,2025-08-15T10:52:28.963Z,2025-08-15T10:53:00.663Z,-15,8/15/2025,070F60D1
12,2025-08-15T10:53:47.592Z,2025-08-15T10:53:49.452Z,30,8/15/2025,070F60D1
13,2025-08-15T10:53:54.416Z,2025-08-15T10:53:57.401Z,30,8/15/2025,070F60D1
14,2025-08-15T10:54:42.148Z,2025-08-15T10:54:43.393Z,30,8/15/2025,070F60D1
15,2025-08-15T10:56:52.182Z,2025-08-15T10:56:54.523Z,30,8/15/2025,070F60D1
16,2025-08-15T10:58:54.897Z,2025-08-15T10:59:04.602Z,0,8/15/2025,070F60D1
17,2025-08-15T10:59:34.377Z,2025-08-15T10:59:35.954Z,30,8/15/2025,070F60D1
18,2025-08-15T11:00:24.371Z,2025-08-15T11:00:30.117Z,0,8/15/2025,070F60D1
19,2025-08-15T11:00:46.977Z,2025-08-15T11:00:53.037Z,30,8/15/2025,070F60D1
20,2025-08-15T11:03:37.364Z,2025-08-15T11:04:06.597Z,60,8/15/2025,070F60D1
21,2025-08-18T02:48:38.633Z,2025-08-18T02:48:47.291Z,30,8/18/2025,070F60D1
22,2025-08-18T03:52:30.897Z,2025-08-18T03:52:34.752Z,30,8/18/2025,070F60D1
23,2025-08-18T04:03:39.357Z,2025-08-18T04:03:40.962Z,30,8/18/2025,070F60D1
24,2025-08-18T04:03:49.767Z,2025-08-18T04:03:51.313Z,30,8/18/2025,070F60D1
25,2025-08-18T04:03:55.437Z,2025-08-18T04:04:00.612Z,30,8/18/2025,070F60D1
28,2025-08-18T07:04:30.226Z,2025-08-18T07:12:30.726Z,-10,8/18/2025,070F60D1
