id,start_time,end_time,result,session_date,device_id
1,2025-08-22T21:05:37.479Z,2025-08-22T21:06:09.773Z,60,23/08/2025,68A2FA6D
1,2025-08-23T00:42:52.486Z,2025-08-23T00:43:02.972Z,60,23/08/2025,68A2FA6D
2,2025-08-23T00:44:43.455Z,2025-08-23T00:45:04.823Z,60,23/08/2025,68A2FA6D
3,2025-08-23T01:06:08.199Z,2025-08-23T01:06:41.188Z,40,23/08/2025,68A2FA6D
4,2025-08-23T01:26:45.459Z,2025-08-23T01:27:07.869Z,90,23/08/2025,68A2FA6D
5,2025-08-23T01:32:08.717Z,2025-08-23T01:32:25.031Z,30,23/08/2025,68A2FA6D
6,2025-08-23T01:32:53.455Z,2025-08-23T01:33:18.947Z,30,23/08/2025,68A2FA6D
7,2025-08-23T01:33:49.386Z,2025-08-23T01:33:53.589Z,-30,23/08/2025,68A2FA6D
8,2025-08-23T01:34:34.205Z,2025-08-23T01:34:58.977Z,0,23/08/2025,68A2FA6D
9,2025-08-23T01:35:59.254Z,2025-08-23T01:36:25.053Z,60,23/08/2025,68A2FA6D
10,2025-08-23T01:38:14.980Z,2025-08-23T01:38:59.572Z,95,23/08/2025,68A2FA6D
11,2025-08-23T01:39:25.663Z,2025-08-23T01:40:06.907Z,90,23/08/2025,68A2FA6D
12,2025-08-23T01:40:25.796Z,2025-08-23T01:41:10.694Z,120,23/08/2025,68A2FA6D
13,2025-08-23T01:52:11.895Z,2025-08-23T01:53:15.456Z,-30,23/08/2025,68A2FA6D
14,2025-08-23T01:55:55.790Z,2025-08-23T01:56:28.698Z,65,23/08/2025,68A2FA6D
15,2025-08-23T01:57:05.393Z,2025-08-23T01:57:39.715Z,30,23/08/2025,68A2FA6D
16,2025-08-23T01:57:54.282Z,2025-08-23T01:58:16.451Z,-30,23/08/2025,68A2FA6D
17,2025-08-23T01:58:34.739Z,2025-08-23T01:59:10.647Z,60,23/08/2025,68A2FA6D
18,2025-08-23T01:59:53.424Z,2025-08-23T02:00:06.137Z,30,23/08/2025,68A2FA6D
19,2025-08-23T02:00:10.312Z,2025-08-23T02:00:15.795Z,30,23/08/2025,68A2FA6D
20,2025-08-23T02:00:19.782Z,2025-08-23T02:00:33.989Z,0,23/08/2025,68A2FA6D
21,2025-08-23T02:02:38.055Z,2025-08-23T02:03:04.027Z,120,23/08/2025,68A2FA6D
22,2025-08-23T02:04:54.232Z,2025-08-23T02:05:18.750Z,60,23/08/2025,68A2FA6D
23,2025-08-23T02:05:59.767Z,2025-08-23T02:06:21.136Z,30,23/08/2025,68A2FA6D
24,2025-08-23T02:06:27.832Z,2025-08-23T02:06:31.823Z,30,23/08/2025,68A2FA6D
25,2025-08-23T02:06:34.744Z,2025-08-23T02:06:52.831Z,5,23/08/2025,68A2FA6D
26,2025-08-23T02:06:59.712Z,2025-08-23T02:07:25.125Z,60,23/08/2025,68A2FA6D
27,2025-08-23T02:08:18.948Z,2025-08-23T02:08:52.881Z,90,23/08/2025,68A2FA6D
28,2025-08-23T02:10:06.792Z,2025-08-23T02:10:10.328Z,-30,23/08/2025,68A2FA6D
29,2025-08-23T02:10:15.435Z,2025-08-23T02:10:20.199Z,30,23/08/2025,68A2FA6D
30,2025-08-23T02:10:25.520Z,2025-08-23T02:10:34.858Z,30,23/08/2025,68A2FA6D
31,2025-08-23T02:10:48.330Z,2025-08-23T02:10:56.654Z,30,23/08/2025,68A2FA6D
32,2025-08-23T02:14:47.205Z,2025-08-23T02:14:51.447Z,0,23/08/2025,68A2FA6D
33,2025-08-23T02:17:04.263Z,2025-08-23T02:17:46.789Z,90,23/08/2025,68A2FA6D
34,2025-08-23T02:18:03.315Z,2025-08-23T02:18:42.185Z,30,23/08/2025,68A2FA6D
35,2025-08-23T02:19:40.210Z,2025-08-23T02:20:14.251Z,90,23/08/2025,68A2FA6D
36,2025-08-23T02:20:23.428Z,2025-08-23T02:20:39.835Z,90,23/08/2025,68A2FA6D
37,2025-08-23T02:21:16.437Z,2025-08-23T02:21:30.523Z,30,23/08/2025,68A2FA6D
